base_seed,parameter_count,train_loss,training_validation_loss,validation_perplexity,training_tokens_per_second,training_peak_gpu_memory_mb,training_peak_gpu_memory_reserved_mb,top2_loss,top1_loss,oracle_loss,oracle_experts_per_token,top2_tokens_per_second,top2_peak_gpu_memory_mb,top2_peak_gpu_memory_reserved_mb,expert_utilization_std,router_entropy,expert_utilization,top1_oracle_accuracy,top2_oracle_coverage,mean_forced_top1_regret,positive_delta_fraction
601,35617152,1.756709061563015,1.7638980293273925,5.835138662188624,5556.490946431616,710.0478515625,778.0,1.763896141052246,1.7960364770889283,1.6752021527290344,1.5270703125,11212.461641992237,161.67041015625,562.0,0.023002781024071713,1.473048483133316,"[[0.08138671517372131, 0.1365039050579071, 0.16730469465255737, 0.1238085925579071, 0.15056639909744263, 0.11873047053813934, 0.13982421159744263, 0.08187499642372131], [0.09699218720197678, 0.1134960949420929, 0.14000000059604645, 0.10859374701976776, 0.13121093809604645, 0.14992187917232513, 0.14148437976837158, 0.11830078065395355], [0.1457812488079071, 0.11076171696186066, 0.09138672053813934, 0.15453125536441803, 0.14228515326976776, 0.10902343690395355, 0.13917969167232513, 0.10705078393220901]]",0.34791666666666665,0.4725390625,0.42702850699424744,0.5270703125
602,35617152,1.8050408139824867,1.7623609912395477,5.8261767210038276,5864.685284499626,711.2197265625,782.0,1.7623569250106812,1.7951639676094056,1.6719114542007447,1.5246484375,11360.89145364945,161.67041015625,524.0,0.025066523041169447,1.4613208389282226,"[[0.17671875655651093, 0.07845702767372131, 0.13386718928813934, 0.17662109434604645, 0.10833984613418579, 0.08195312321186066, 0.14990234375, 0.09414062649011612], [0.10160156339406967, 0.14091797173023224, 0.13898438215255737, 0.11294922232627869, 0.1316796839237213, 0.14226561784744263, 0.10343749821186066, 0.12816406786441803], [0.12080077826976776, 0.1255468726158142, 0.14249999821186066, 0.15517577528953552, 0.12195312231779099, 0.10703124850988388, 0.11261718720197678, 0.11437500268220901]]",0.345703125,0.46391927083333334,0.4050288200378418,0.5246484375
603,35617152,1.8454134985804558,1.7716185879707336,5.880363548472234,5136.383293221333,712.4072265625,780.0,1.771601458787918,1.8068610429763794,1.6787390899658203,1.5252994791666667,10318.08969661983,161.67041015625,546.0,0.022470487981067478,1.4991230547428132,"[[0.1692187488079071, 0.12171874940395355, 0.15306641161441803, 0.13906249403953552, 0.1255468726158142, 0.08660156279802322, 0.07531250268220901, 0.12947265803813934], [0.1242382824420929, 0.13050781190395355, 0.1101367175579071, 0.16455078125, 0.09576171636581421, 0.12779296934604645, 0.11515624821186066, 0.13185547292232513], [0.1266796886920929, 0.12128905951976776, 0.09365234524011612, 0.10675781220197678, 0.13457031548023224, 0.12339843809604645, 0.14765624701976776, 0.14599609375]]",0.334609375,0.44733072916666666,0.421753853559494,0.5252994791666666
