base_seed,gate_seed,budget,group,count,mean_delta,median_delta,p90_delta,fraction_k2_helps
601,11,1.1,both,2572,0.08008440731101978,0.0380859375,0.4919921875000002,0.5824261275272161
601,11,1.1,MLP only,4974,0.038332882011852254,0.0166015625,0.27099609375,0.5723763570566948
601,11,1.1,margin only,5140,0.028317817175898572,0.0041656494140625,0.27734375,0.5443579766536965
601,11,1.1,neither,64114,0.004750408608494626,0.000255584716796875,0.10546875,0.519948841126743
601,11,1.2,both,6487,0.05614265675939469,0.022247314453125,0.38486328125000013,0.579929088947125
601,11,1.2,MLP only,8775,0.019790444115967493,0.004638671875,0.16796875,0.5492877492877493
601,11,1.2,margin only,9005,0.017415764409922548,0.00244140625,0.22021484375,0.5361465852304276
601,11,1.2,neither,52533,0.002894915738923694,0.00014495849609375,0.09375,0.5152761121580721
601,11,1.3,both,10931,0.044818008778112914,0.015625,0.322509765625,0.5777147561979691
601,11,1.3,MLP only,11925,0.01023251171631883,0.00140380859375,0.123046875,0.5288050314465409
601,11,1.3,margin only,12180,0.010098548554043072,0.00109100341796875,0.1875,0.5311165845648604
601,11,1.3,neither,41764,0.002677843381408393,0.00010633468627929688,0.0859375,0.5121396417967627
601,22,1.1,both,2454,0.08633668226445702,0.0390625,0.4962890625000016,0.5831295843520783
601,22,1.1,MLP only,5455,0.04163804932759509,0.01806640625,0.2734375,0.5792850595783685
601,22,1.1,margin only,5258,0.02656151723299429,0.00439453125,0.2734375,0.5448839863065804
601,22,1.1,neither,63633,0.004213221026353406,0.00023651123046875,0.103515625,0.518960287900932
601,22,1.2,both,6323,0.05874328486587208,0.0234375,0.3904296875000002,0.5770994780958406
601,22,1.2,MLP only,9384,0.020272943268245035,0.005859375,0.1767578125,0.5481670929241261
601,22,1.2,margin only,9169,0.016315037921543978,0.002777099609375,0.21484375,0.5388810121060094
601,22,1.2,neither,51924,0.0026095535012957733,0.000133514404296875,0.091796875,0.5150797319158771
601,22,1.3,both,10816,0.04538243621058718,0.015625,0.325439453125,0.569896449704142
601,22,1.3,MLP only,12882,0.01187996641483908,0.0019378662109375,0.1328125,0.5255395124980593
601,22,1.3,margin only,12295,0.009926762528514514,0.001312255859375,0.1796875,0.538430256201708
601,22,1.3,neither,40807,0.001980602000693145,0.0001068115234375,0.08203125,0.5127796701546303
601,33,1.1,both,2442,0.0768113882203848,0.0302734375,0.4774414062500001,0.583947583947584
