base_seed,gate_seed,budget,method,cached_fraction_k2,online_fraction_k2,cached_minus_online
601,11,1.1,MLP,0.09825520833333333,0.09997395833333322,-0.001718749999999894
601,11,1.1,margin,0.10041666666666667,0.09792968749999997,0.0024869791666666946
601,11,1.2,MLP,0.19872395833333334,0.20217447916666664,-0.0034505208333333037
601,11,1.2,margin,0.20171875,0.1985937499999999,0.0031250000000001
601,11,1.3,MLP,0.29760416666666667,0.3002734375,-0.002669270833333348
601,11,1.3,margin,0.30092447916666665,0.29914062499999994,0.0017838541666667096
601,22,1.1,MLP,0.10298177083333333,0.1016796874999999,0.0013020833333334397
601,22,1.1,margin,0.10041666666666667,0.09792968749999997,0.0024869791666666946
601,22,1.2,MLP,0.20451822916666668,0.20471354166666678,-0.00019531250000009992
601,22,1.2,margin,0.20171875,0.1985937499999999,0.0031250000000001
601,22,1.3,MLP,0.30856770833333336,0.30861979166666664,-5.2083333333285964e-05
601,22,1.3,margin,0.30092447916666665,0.29914062499999994,0.0017838541666667096
601,33,1.1,MLP,0.0990234375,0.10019531249999991,-0.0011718749999999056
601,33,1.1,margin,0.10041666666666667,0.09792968749999997,0.0024869791666666946
601,33,1.2,MLP,0.2028125,0.20423177083333344,-0.0014192708333334303
601,33,1.2,margin,0.20171875,0.1985937499999999,0.0031250000000001
601,33,1.3,MLP,0.3002473958333333,0.3020052083333331,-0.001757812499999789
601,33,1.3,margin,0.30092447916666665,0.29914062499999994,0.0017838541666667096
602,11,1.1,MLP,0.105,0.10700520833333327,-0.002005208333333272
602,11,1.1,margin,0.1008984375,0.0978255208333334,0.003072916666666592
602,11,1.2,MLP,0.20826822916666668,0.21194010416666664,-0.0036718749999999634
602,11,1.2,margin,0.201953125,0.19878906249999995,0.0031640625000000644
602,11,1.3,MLP,0.30709635416666664,0.31074218750000004,-0.0036458333333334036
602,11,1.3,margin,0.3030078125,0.2980729166666669,0.004934895833333064
602,22,1.1,MLP,0.104140625,0.10613281250000006,-0.0019921875000000616
602,22,1.1,margin,0.1008984375,0.0978255208333334,0.003072916666666592
602,22,1.2,MLP,0.20571614583333334,0.20828124999999997,-0.0025651041666666374
602,22,1.2,margin,0.201953125,0.19878906249999995,0.0031640625000000644
602,22,1.3,MLP,0.30520833333333336,0.3082942708333334,-0.0030859375000000244
602,22,1.3,margin,0.3030078125,0.2980729166666669,0.004934895833333064
602,33,1.1,MLP,0.10169270833333334,0.10326822916666689,-0.0015755208333335519
602,33,1.1,margin,0.1008984375,0.0978255208333334,0.003072916666666592
602,33,1.2,MLP,0.19880208333333332,0.20084635416666674,-0.002044270833333417
602,33,1.2,margin,0.201953125,0.19878906249999995,0.0031640625000000644
602,33,1.3,MLP,0.29389322916666666,0.29770833333333324,-0.003815104166666583
602,33,1.3,margin,0.3030078125,0.2980729166666669,0.004934895833333064
603,11,1.1,MLP,0.0984375,0.1075390624999999,-0.009101562499999896
603,11,1.1,margin,0.09916666666666667,0.09756510416666675,0.0016015624999999173
603,11,1.2,MLP,0.19826822916666667,0.20861979166666678,-0.010351562500000105
603,11,1.2,margin,0.2,0.19777343749999998,0.002226562500000029
603,11,1.3,MLP,0.2963671875,0.3061458333333331,-0.0097786458333331
603,11,1.3,margin,0.301015625,0.29684895833333336,0.004166666666666652
603,22,1.1,MLP,0.09770833333333333,0.09774739583333325,-3.906249999992284e-05
603,22,1.1,margin,0.09916666666666667,0.09756510416666675,0.0016015624999999173
603,22,1.2,MLP,0.19783854166666667,0.20011718750000007,-0.002278645833333398
603,22,1.2,margin,0.2,0.19777343749999998,0.002226562500000029
603,22,1.3,MLP,0.2983984375,0.30186197916666657,-0.0034635416666665697
603,22,1.3,margin,0.301015625,0.29684895833333336,0.004166666666666652
603,33,1.1,MLP,0.09829427083333334,0.10283854166666662,-0.00454427083333328
603,33,1.1,margin,0.09916666666666667,0.09756510416666675,0.0016015624999999173
603,33,1.2,MLP,0.19904947916666665,0.20407552083333336,-0.005026041666666703
603,33,1.2,margin,0.2,0.19777343749999998,0.002226562500000029
603,33,1.3,MLP,0.29955729166666667,0.3043359375000001,-0.004778645833333428
603,33,1.3,margin,0.301015625,0.29684895833333336,0.004166666666666652
