base_seed,gate_seed,method,fraction_k2,captured_delta_per_decision,mean_selected_delta
601,22,margin,0.09,0.004169991202652454,0.04633323558502727
601,22,margin,0.1,0.004580068464080492,0.045800684640804924
601,22,margin,0.11,0.004842100366950035,0.04401909424500032
601,22,margin,0.12,0.005052150612076123,0.042101255100634366
601,22,margin,0.13,0.005373820240298907,0.041337078771530054
601,22,margin,0.14,0.005623567303021749,0.04016460233163492
601,22,margin,0.15,0.005728039480745792,0.0381836153216975
601,22,margin,0.16,0.006064708816508452,0.03790443010317782
601,22,margin,0.17,0.006063442441324393,0.03566457681655153
601,22,margin,0.18,0.006267225866516431,0.0348154030053137
601,22,margin,0.19,0.006443386835356554,0.033912562291350284
601,22,margin,0.2,0.0067551077902317045,0.03377553895115852
601,22,margin,0.21,0.006901061683893203,0.03286016103434795
601,22,margin,0.22,0.007076122127473355,0.032164191488515244
601,22,margin,0.23,0.007191430553793907,0.031267089364321335
601,22,margin,0.24,0.0073153831188877425,0.030480762995365594
601,22,margin,0.25,0.007389150261878967,0.029556601047515868
601,22,margin,0.26,0.007571337893605232,0.029120530360020123
601,22,margin,0.27,0.007593157577017943,0.028122805840807195
601,22,margin,0.28,0.00770136130352815,0.027503582799858727
601,22,margin,0.29,0.007855233922600745,0.027085797389473233
601,22,margin,0.3,0.00799078846971194,0.026635961565706464
601,22,margin,0.31,0.008128382911284765,0.026220590036402466
601,33,MLP,0.01,0.00155642901857694,0.155642901857694
601,33,MLP,0.02,0.0022417280822992327,0.11208640411496162
601,33,MLP,0.03,0.0026524965465068817,0.08841655155022939
601,33,MLP,0.04,0.0031329112748305003,0.07832278187076251
601,33,MLP,0.05,0.0035065664102633793,0.07013132820526759
601,33,MLP,0.06,0.003928907215595245,0.06548178692658742
601,33,MLP,0.07,0.004192469939589501,0.05989242770842144
601,33,MLP,0.08,0.004568435226877531,0.05710544033596913
601,33,MLP,0.09,0.004883852154016495,0.05426502393351661
601,33,MLP,0.1,0.005155951678752899,0.05155951678752899
601,33,MLP,0.11,0.0055015352989236516,0.050013957262942284
601,33,MLP,0.12,0.005688731583456198,0.04740609652880165
601,33,MLP,0.13,0.005738862827420235,0.04414509867246334
601,33,MLP,0.14,0.005846710217495759,0.0417583320658118
601,33,MLP,0.15,0.006049963049590588,0.040329586165138195
601,33,MLP,0.16,0.006208723063270251,0.038804519145439066
601,33,MLP,0.17,0.006473941331108411,0.038079091232988124
601,33,MLP,0.18,0.006623532498876253,0.03679474111491474
601,33,MLP,0.19,0.0067912744482358295,0.035743549727557
601,33,MLP,0.2,0.006915756637851397,0.03457878318925699
601,33,MLP,0.21,0.007095589327315489,0.033786425713796864
601,33,MLP,0.22,0.007258736739555995,0.0329942579070727
601,33,MLP,0.23,0.007397005371749401,0.03216089292064957
601,33,MLP,0.24,0.007555967966715495,0.031483199861314565
601,33,MLP,0.25,0.007719095585246881,0.030876382340987524
601,33,MLP,0.26,0.00788328018039465,0.03032030838613327
601,33,MLP,0.27,0.008042694019774596,0.0297877556287948
601,33,MLP,0.28,0.00813939217478037,0.029067906022931054
601,33,MLP,0.29,0.008190847684939702,0.028243034265854134
601,33,MLP,0.3,0.008329869409402212,0.02776623136467404
601,33,MLP,0.31,0.008453010072310765,0.02726777442680892
601,33,margin,0.01,0.0006370385612050692,0.06370385612050693
601,33,margin,0.02,0.00130824310084184,0.06541215504209201
601,33,margin,0.03,0.001856427105764548,0.061880903525484934
601,33,margin,0.04,0.002303751359383265,0.05759378398458163
601,33,margin,0.05,0.0027257241308689117,0.054514482617378235
601,33,margin,0.06,0.0030871362363298735,0.05145227060549789
601,33,margin,0.07,0.0035509753103057542,0.050728218718653635
601,33,margin,0.08,0.0038380555187662443,0.04797569398457805
601,33,margin,0.09,0.004169991202652454,0.04633323558502727
601,33,margin,0.1,0.004580068464080492,0.045800684640804924
601,33,margin,0.11,0.004842100366950035,0.04401909424500032
601,33,margin,0.12,0.005052150612076123,0.042101255100634366
601,33,margin,0.13,0.005373820240298907,0.041337078771530054
601,33,margin,0.14,0.005623567303021749,0.04016460233163492
601,33,margin,0.15,0.005728039480745792,0.0381836153216975
601,33,margin,0.16,0.006064708816508452,0.03790443010317782
601,33,margin,0.17,0.006063442441324393,0.03566457681655153
601,33,margin,0.18,0.006267225866516431,0.0348154030053137
601,33,margin,0.19,0.006443386835356554,0.033912562291350284
601,33,margin,0.2,0.0067551077902317045,0.03377553895115852
601,33,margin,0.21,0.006901061683893203,0.03286016103434795
601,33,margin,0.22,0.007076122127473355,0.032164191488515244
601,33,margin,0.23,0.007191430553793907,0.031267089364321335
601,33,margin,0.24,0.0073153831188877425,0.030480762995365594
601,33,margin,0.25,0.007389150261878967,0.029556601047515868
601,33,margin,0.26,0.007571337893605232,0.029120530360020123
601,33,margin,0.27,0.007593157577017943,0.028122805840807195
601,33,margin,0.28,0.00770136130352815,0.027503582799858727
601,33,margin,0.29,0.007855233922600745,0.027085797389473233
601,33,margin,0.3,0.00799078846971194,0.026635961565706464
601,33,margin,0.31,0.008128382911284765,0.026220590036402466
602,11,MLP,0.01,0.0012744427224000295,0.12744427224000296
602,11,MLP,0.02,0.0021964145203431447,0.10982072601715724
602,11,MLP,0.03,0.002961271454890569,0.0987090484963523
602,11,MLP,0.04,0.0036776440093914666,0.09194110023478667
602,11,MLP,0.05,0.004284276465574901,0.085685529311498
602,11,MLP,0.06,0.0047122412919998165,0.07853735486666362
602,11,MLP,0.07,0.0050909309337536495,0.07272758476790928
602,11,MLP,0.08,0.005452384625871976,0.06815480782339971
602,11,MLP,0.09,0.005746490731835366,0.06384989702039295
602,11,MLP,0.1,0.00609020176033179,0.0609020176033179
602,11,MLP,0.11,0.006251064414779345,0.056827858316175865
602,11,MLP,0.12,0.006538231844703356,0.05448526537252797
602,11,MLP,0.13,0.006814839343229929,0.05242184110176869
602,11,MLP,0.14,0.006946294941008091,0.049611778245087085
602,11,MLP,0.15,0.007094582853217919,0.04729311371644269
602,11,MLP,0.16,0.007186316413184007,0.044914477582400046
602,11,MLP,0.17,0.007332475197811921,0.04312890366791419
602,11,MLP,0.18,0.007457751942177613,0.041428958347865516
602,11,MLP,0.19,0.007611623319486777,0.040061175365719875
602,11,MLP,0.2,0.007706660988430182,0.03853330494215091
602,11,MLP,0.21,0.007859913222491742,0.03742583765189198
602,11,MLP,0.22,0.007813235769669215,0.035514708043950974
602,11,MLP,0.23,0.007933692050476868,0.03449431326294291
602,11,MLP,0.24,0.008020537073413532,0.03341890447255638
602,11,MLP,0.25,0.008216498245795567,0.03286599298318227
602,11,MLP,0.26,0.008327194874485334,0.03202767259417436
602,11,MLP,0.27,0.008360611349344254,0.030965227219793532
602,11,MLP,0.28,0.008491444612542788,0.030325177690922397
602,11,MLP,0.29,0.008561415895819664,0.029520798311810273
602,11,MLP,0.3,0.00863137220342954,0.028771240678098466
602,11,MLP,0.31,0.00871596737454335,0.028116023788849514
602,11,margin,0.01,0.0007898295049866041,0.0789829504986604
602,11,margin,0.02,0.0013998573025067647,0.06999286512533824
602,11,margin,0.03,0.002130865020056566,0.07102883400188552
602,11,margin,0.04,0.002527359003822009,0.06318397509555022
602,11,margin,0.05,0.0029116523638367652,0.058233047276735304
602,11,margin,0.06,0.0034628196681539217,0.057713661135898695
602,11,margin,0.07,0.003929123481114705,0.05613033544449579
602,11,margin,0.08,0.004358518061538538,0.054481475769231714
602,11,margin,0.09,0.00471357461065054,0.052373051229450435
602,11,margin,0.1,0.0050495044638713205,0.0504950446387132
602,11,margin,0.11,0.005443515032529831,0.04948650029572574
602,11,margin,0.12,0.0058156542479991915,0.04846378539999326
602,11,margin,0.13,0.006118957959115505,0.04706890737781158
602,11,margin,0.14,0.006474268635114034,0.046240475325654035
602,11,margin,0.15,0.006648408236602942,0.04431887445283447
602,11,margin,0.16,0.0070066735893487934,0.043791709933429956
602,11,margin,0.17,0.007201221225162347,0.0423568806075261
602,11,margin,0.18,0.007439108130832513,0.04132538911015819
602,11,margin,0.19,0.007610424421727657,0.04005486537751399
602,11,margin,0.2,0.007880353058377901,0.03940176529188951
602,11,margin,0.21,0.008031753239532312,0.03824407271350248
602,11,margin,0.22,0.008230028537412485,0.0374092206246022
602,11,margin,0.23,0.008314968359967072,0.03615203634768292
602,11,margin,0.24,0.008434273054202397,0.03514280439250999
602,11,margin,0.25,0.00852599340180556,0.03410397360722224
602,11,margin,0.26,0.008633323883016904,0.03320509185775732
602,11,margin,0.27,0.008799059676627318,0.032589109913434514
602,11,margin,0.28,0.008840375232199828,0.031571300526991246
602,11,margin,0.29,0.008892698263128598,0.03066310001384081
602,11,margin,0.3,0.009053773432970046,0.030179244776566822
602,11,margin,0.31,0.00921191830188036,0.029715865489936644
602,22,MLP,0.01,0.0013065072397391,0.13065072397391
602,22,MLP,0.02,0.0022331000367800395,0.11165500183900197
602,22,MLP,0.03,0.0030402083943287532,0.10134027981095844
602,22,MLP,0.04,0.0036630134532848993,0.09157533633212249
602,22,MLP,0.05,0.0041415236393610635,0.08283047278722128
602,22,MLP,0.06,0.00466091441611449,0.07768190693524149
602,22,MLP,0.07,0.00509571623057127,0.07279594615101814
602,22,MLP,0.08,0.005531768103440603,0.06914710129300754
602,22,MLP,0.09,0.0058146011829376225,0.06460667981041802
602,22,MLP,0.1,0.006168280616402626,0.06168280616402626
602,22,MLP,0.11,0.006396003638704618,0.05814548762458743
602,22,MLP,0.12,0.006602256521582603,0.0550188043465217
602,22,MLP,0.13,0.006838860313097636,0.05260661779305874
602,22,MLP,0.14,0.007070739890138308,0.0505005880742697
602,22,MLP,0.15,0.0072004505371054016,0.04799883701498957
602,22,MLP,0.16,0.0073886850476264955,0.046179281547665596
602,22,MLP,0.17,0.007469548508524894,0.04393515550698567
602,22,MLP,0.18,0.007630641013383866,0.042389383712685774
602,22,MLP,0.19,0.007692871155838172,0.04048879555704301
602,22,MLP,0.2,0.007842351260284583,0.039211756301422915
602,22,MLP,0.21,0.007972844739754995,0.03796357343996426
602,22,MLP,0.22,0.008160817039509615,0.037094622906861885
602,22,MLP,0.23,0.008290008045732974,0.036043513242317284
602,22,MLP,0.24,0.008497322462499141,0.03540551026041309
602,22,MLP,0.25,0.008508704553047816,0.034034818212191266
602,22,MLP,0.26,0.008458285542825858,0.03253186747240715
602,22,MLP,0.27,0.008488106206059456,0.0314374303928128
602,22,MLP,0.28,0.00855484010030826,0.030551579618864184
602,22,MLP,0.29,0.008617927258213361,0.029715656329672074
602,22,MLP,0.3,0.00873937588185072,0.0291312529395024
602,22,MLP,0.31,0.008880438494185607,0.028646575787695507
602,22,margin,0.01,0.0007898295049866041,0.0789829504986604
602,22,margin,0.02,0.0013998573025067647,0.06999286512533824
602,22,margin,0.03,0.002130865020056566,0.07102883400188552
602,22,margin,0.04,0.002527359003822009,0.06318397509555022
602,22,margin,0.05,0.0029116523638367652,0.058233047276735304
602,22,margin,0.06,0.0034628196681539217,0.057713661135898695
602,22,margin,0.07,0.003929123481114705,0.05613033544449579
602,22,margin,0.08,0.004358518061538538,0.054481475769231714
602,22,margin,0.09,0.00471357461065054,0.052373051229450435
602,22,margin,0.1,0.0050495044638713205,0.0504950446387132
602,22,margin,0.11,0.005443515032529831,0.04948650029572574
602,22,margin,0.12,0.0058156542479991915,0.04846378539999326
602,22,margin,0.13,0.006118957959115505,0.04706890737781158
602,22,margin,0.14,0.006474268635114034,0.046240475325654035
602,22,margin,0.15,0.006648408236602942,0.04431887445283447
602,22,margin,0.16,0.0070066735893487934,0.043791709933429956
602,22,margin,0.17,0.007201221225162347,0.0423568806075261
602,22,margin,0.18,0.007439108130832513,0.04132538911015819
602,22,margin,0.19,0.007610424421727657,0.04005486537751399
602,22,margin,0.2,0.007880353058377901,0.03940176529188951
602,22,margin,0.21,0.008031753239532312,0.03824407271350248
602,22,margin,0.22,0.008230028537412485,0.0374092206246022
602,22,margin,0.23,0.008314968359967072,0.03615203634768292
602,22,margin,0.24,0.008434273054202397,0.03514280439250999
602,22,margin,0.25,0.00852599340180556,0.03410397360722224
602,22,margin,0.26,0.008633323883016904,0.03320509185775732
602,22,margin,0.27,0.008799059676627318,0.032589109913434514
602,22,margin,0.28,0.008840375232199828,0.031571300526991246
602,22,margin,0.29,0.008892698263128598,0.03066310001384081
602,22,margin,0.3,0.009053773432970046,0.030179244776566822
602,22,margin,0.31,0.00921191830188036,0.029715865489936644
602,33,MLP,0.01,0.001452859193086624,0.14528591930866241
602,33,MLP,0.02,0.0023103011151154834,0.11551505575577418
602,33,MLP,0.03,0.0029241887231667837,0.09747295743889278
602,33,MLP,0.04,0.0035805212457974754,0.08951303114493687
602,33,MLP,0.05,0.00405329222480456,0.08106584449609121
602,33,MLP,0.06,0.004413019468386968,0.07355032447311613
602,33,MLP,0.07,0.004806091773013274,0.06865845390018963
602,33,MLP,0.08,0.005164382569491863,0.06455478211864829
602,33,MLP,0.09,0.005410093180835247,0.060112146453724966
602,33,MLP,0.1,0.005557546777029832,0.05557546777029832
602,33,MLP,0.11,0.0058165183290839195,0.05287743935530836
602,33,MLP,0.12,0.006167003773152828,0.0513916981096069
602,33,MLP,0.13,0.006357761360704899,0.04890585662080692
602,33,MLP,0.14,0.006574963641663392,0.04695965848412057
602,33,MLP,0.15,0.006664763701458772,0.04442790142106012
602,33,MLP,0.16,0.006771316267549992,0.04232072667218745
602,33,MLP,0.17,0.006877607268591722,0.040453414890698036
602,33,MLP,0.18,0.006949430194993814,0.038605152909622055
602,33,MLP,0.19,0.007068029853204886,0.037200157122130977
602,33,MLP,0.2,0.007261634630461534,0.03630817315230767
602,33,MLP,0.21,0.00729569581647714,0.03473925467824691
602,33,MLP,0.22,0.007499728413919608,0.03408967460872549
602,33,MLP,0.23,0.00750887884447972,0.03264729932382487
602,33,MLP,0.24,0.007588946397105853,0.031620609987941056
602,33,MLP,0.25,0.007643487180272738,0.03057394872109095
602,33,MLP,0.26,0.00776857677847147,0.0298791414556595
602,33,MLP,0.27,0.00785175641377767,0.029080579310287662
602,33,MLP,0.28,0.007841302653153737,0.028003350093569263
602,33,MLP,0.29,0.007827876955270768,0.026991467254738694
602,33,MLP,0.3,0.007927805644770464,0.026426018815901543
602,33,MLP,0.31,0.008043276766935984,0.025946054086890272
602,33,margin,0.01,0.0007898295049866041,0.0789829504986604
602,33,margin,0.02,0.0013998573025067647,0.06999286512533824
602,33,margin,0.03,0.002130865020056566,0.07102883400188552
602,33,margin,0.04,0.002527359003822009,0.06318397509555022
602,33,margin,0.05,0.0029116523638367652,0.058233047276735304
602,33,margin,0.06,0.0034628196681539217,0.057713661135898695
602,33,margin,0.07,0.003929123481114705,0.05613033544449579
602,33,margin,0.08,0.004358518061538538,0.054481475769231714
602,33,margin,0.09,0.00471357461065054,0.052373051229450435
602,33,margin,0.1,0.0050495044638713205,0.0504950446387132
602,33,margin,0.11,0.005443515032529831,0.04948650029572574
602,33,margin,0.12,0.0058156542479991915,0.04846378539999326
602,33,margin,0.13,0.006118957959115505,0.04706890737781158
602,33,margin,0.14,0.006474268635114034,0.046240475325654035
602,33,margin,0.15,0.006648408236602942,0.04431887445283447
602,33,margin,0.16,0.0070066735893487934,0.043791709933429956
602,33,margin,0.17,0.007201221225162347,0.0423568806075261
602,33,margin,0.18,0.007439108130832513,0.04132538911015819
602,33,margin,0.19,0.007610424421727657,0.04005486537751399
602,33,margin,0.2,0.007880353058377901,0.03940176529188951
602,33,margin,0.21,0.008031753239532312,0.03824407271350248
602,33,margin,0.22,0.008230028537412485,0.0374092206246022
602,33,margin,0.23,0.008314968359967072,0.03615203634768292
602,33,margin,0.24,0.008434273054202397,0.03514280439250999
602,33,margin,0.25,0.00852599340180556,0.03410397360722224
602,33,margin,0.26,0.008633323883016904,0.03320509185775732
602,33,margin,0.27,0.008799059676627318,0.032589109913434514
602,33,margin,0.28,0.008840375232199828,0.031571300526991246
602,33,margin,0.29,0.008892698263128598,0.03066310001384081
602,33,margin,0.3,0.009053773432970046,0.030179244776566822
602,33,margin,0.31,0.00921191830188036,0.029715865489936644
603,11,MLP,0.01,0.001237538754940033,0.1237538754940033
603,11,MLP,0.02,0.002136948158343633,0.10684740791718166
603,11,MLP,0.03,0.0028842659046252567,0.0961421968208419
603,11,MLP,0.04,0.0033977107206980385,0.08494276801745097
603,11,MLP,0.05,0.0039529820531606676,0.07905964106321335
603,11,MLP,0.06,0.004257703423500061,0.07096172372500102
603,11,MLP,0.07,0.004722406143943468,0.06746294491347812
603,11,MLP,0.08,0.005038648247718811,0.06298310309648514
603,11,MLP,0.09,0.005409665169815223,0.060107390775724696
603,11,MLP,0.1,0.005737440524001916,0.05737440524001916
603,11,MLP,0.11,0.005940102922419707,0.05400093565836097
603,11,MLP,0.12,0.006205775439739227,0.051714795331160225
603,11,MLP,0.13,0.0064182205870747565,0.049370927592882745
603,11,MLP,0.14,0.006659625408550103,0.047564329152482834
603,11,MLP,0.15,0.006928097642958164,0.04618330865195617
603,11,MLP,0.16,0.007216539370516936,0.04510337106573085
603,11,MLP,0.17,0.00739012016604344,0.04346796574650657
603,11,MLP,0.18,0.007610901457568009,0.04227972744601976
603,11,MLP,0.19,0.0077949237078428265,0.04102591425180435
603,11,MLP,0.2,0.007888483417530855,0.03944241708765427
603,11,MLP,0.21,0.008027727988859017,0.03822490604156318
603,11,MLP,0.22,0.008167412703235944,0.037124603196527016
603,11,MLP,0.23,0.00842843937377135,0.03664538858161456
603,11,MLP,0.24,0.008539629938701788,0.03558179141125745
603,11,MLP,0.25,0.008705463247994582,0.034821852991978326
603,11,MLP,0.26,0.008880566495160261,0.034156024981385626
603,11,MLP,0.27,0.008864998010297616,0.03283332596406525
603,11,MLP,0.28,0.009015784338116646,0.032197732488600715
603,11,MLP,0.29,0.009156934581696988,0.03157421882433119
603,11,MLP,0.3,0.009241816774010658,0.030806055913368862
603,11,MLP,0.31,0.009331981527308623,0.03010316621712459
603,11,margin,0.01,0.0006559856981039048,0.06559856981039047
603,11,margin,0.02,0.001297594519952933,0.06487972599764665
603,11,margin,0.03,0.0018699558327595392,0.062331861091984644
603,11,margin,0.04,0.0023600169519583385,0.05900042379895846
603,11,margin,0.05,0.002858578550318877,0.057171571006377535
603,11,margin,0.06,0.003269570805132389,0.05449284675220648
603,11,margin,0.07,0.0038572294389208157,0.055103277698868795
603,11,margin,0.08,0.0042777995641032854,0.05347249455129107
603,11,margin,0.09,0.004565951824188233,0.05073279804653592
603,11,margin,0.1,0.00482779232164224,0.0482779232164224
603,11,margin,0.11,0.0049673291916648545,0.045157538106044136
603,11,margin,0.12,0.005318418679138025,0.04432015565948354
603,11,margin,0.13,0.00556191115329663,0.04278393194843561
603,11,margin,0.14,0.005783191621303558,0.04130467000056852
603,11,margin,0.15,0.006040643664697806,0.04026746232521409
603,11,margin,0.16,0.006189404105146726,0.03868377565716704
603,11,margin,0.17,0.006386232785880566,0.03756319812787221
603,11,margin,0.18,0.00658371647198995,0.03657355696555719
603,11,margin,0.19,0.006869460381567478,0.036155054639828835
603,11,margin,0.2,0.007025388230880101,0.03512694115440051
603,11,margin,0.21,0.007291963845491409,0.03472148448966087
603,11,margin,0.22,0.0074468688170115154,0.033849403713688705
603,11,margin,0.23,0.00756273082147042,0.032881438354219215
603,11,margin,0.24,0.0076734459400177,0.03197269141674042
603,11,margin,0.25,0.007880845467249552,0.03152338186899821
603,11,margin,0.26,0.008044539925952752,0.030940538176741354
603,11,margin,0.27,0.008238554932177067,0.030513166415470618
603,11,margin,0.28,0.008328534613053004,0.029743383319342977
603,11,margin,0.29,0.008352382158239682,0.028800024682476884
603,11,margin,0.3,0.008403760716319084,0.028012535721063613
603,11,margin,0.31,0.008591776974499225,0.027715409595158794
603,22,MLP,0.01,0.001384223699569702,0.13842236995697021
603,22,MLP,0.02,0.0020876307040452956,0.10438153520226479
603,22,MLP,0.03,0.0026135318477948505,0.08711772825982836
603,22,MLP,0.04,0.0030102622260649997,0.07525655565162499
603,22,MLP,0.05,0.0035345997164646786,0.07069199432929357
603,22,MLP,0.06,0.0038146709899107615,0.06357784983184603
603,22,MLP,0.07,0.0041437836860617,0.05919690980088143
603,22,MLP,0.08,0.004511165941754977,0.056389574271937214
603,22,MLP,0.09,0.00479682539900144,0.05329805998890488
603,22,MLP,0.1,0.004951687728365262,0.04951687728365262
603,22,MLP,0.11,0.005225351651509603,0.04750319683190548
603,22,MLP,0.12,0.0055841436112920445,0.04653453009410037
