base_seed,gate_seed,budget,layer,mlp_single_layer_validation_loss,margin_single_layer_validation_loss,mlp_minus_margin_loss
601,11,1.1,1,1.7720705473423004,1.7714077842235565,0.0006627631187439142
601,11,1.1,3,1.7693740785121919,1.7717687392234802,-0.0023946607112883544
601,11,1.1,5,1.769526629447937,1.7691037797927855,0.00042284965515149153
601,22,1.1,1,1.7704775786399842,1.7714077842235565,-0.0009302055835722634
601,22,1.1,3,1.7693783617019654,1.7717687392234802,-0.0023903775215148304
601,22,1.1,5,1.768802556991577,1.7691037797927855,-0.00030122280120847833
601,33,1.1,1,1.7709948801994324,1.7714077842235565,-0.00041290402412408334
601,33,1.1,3,1.7694078016281127,1.7717687392234802,-0.002360937595367485
601,33,1.1,5,1.7701847994327544,1.7691037797927855,0.001081019639968872
602,11,1.1,1,1.7683393704891204,1.769303297996521,-0.0009639275074007081
602,11,1.1,3,1.7693580842018128,1.7717687118053436,-0.002410627603530724
602,11,1.1,5,1.7648219060897827,1.7646504461765289,0.00017145991325384635
602,22,1.1,1,1.7690338611602783,1.769303297996521,-0.000269436836242809
602,22,1.1,3,1.7682371306419373,1.7717687118053436,-0.003531581163406239
602,22,1.1,5,1.7652138459682465,1.7646504461765289,0.0005633997917176004
602,33,1.1,1,1.7691016435623168,1.769303297996521,-0.0002016544342042792
602,33,1.1,3,1.7702263760566712,1.7717687118053436,-0.0015423357486723521
602,33,1.1,5,1.7648690664768218,1.7646504461765289,0.00021862030029295987
603,11,1.1,1,1.7796137452125549,1.7815851521492005,-0.001971406936645659
603,11,1.1,3,1.7788352489471435,1.7801468300819396,-0.0013115811347961248
603,11,1.1,5,1.7756865811347962,1.7750658404827118,0.000620740652084395
603,22,1.1,1,1.780180869102478,1.7815851521492005,-0.0014042830467224654
603,22,1.1,3,1.7800566625595093,1.7801468300819396,-9.016752243029558e-05
603,22,1.1,5,1.7766534459590912,1.7750658404827118,0.0015876054763794833
603,33,1.1,1,1.780104434490204,1.7815851521492005,-0.0014807176589965998
603,33,1.1,3,1.7785013818740845,1.7801468300819396,-0.0016454482078551713
603,33,1.1,5,1.7763259994983673,1.7750658404827118,0.0012601590156555709
