base_seed,gate_seed,budget,layer,decisions,proxy_mlp_minus_margin,mlp_fraction_k2,margin_fraction_k2,mlp_recall_top5,margin_recall_top5,mlp_recall_top10,margin_recall_top10,recall_top10_difference,mlp_mean_selected_delta,margin_mean_selected_delta,layer_delta_mean,layer_delta_p90,layer_entropy_mean
601,11,1.1,1,25600,0.0003947755694389343,0.0555859375,0.0633984375,0.18828125,0.2078125,0.1359375,0.151171875,-0.015234375000000022,0.0457972642492427,0.04638062945428779,0.009283673837780953,0.125,1.5114949664426967
601,11,1.1,3,25600,-0.0025355084612965584,0.135390625,0.0929296875,0.46328125,0.34453125,0.378125,0.248828125,0.12929687499999998,0.06368794636580549,0.06550374337733919,0.013858530335128308,0.140625,1.3978178911970462
601,11,1.1,5,25600,0.00037846043705940245,0.1037890625,0.144921875,0.32890625,0.45390625,0.268359375,0.365234375,-0.09687499999999999,0.04167592081307557,0.03245862770594676,0.009934597723186016,0.140625,1.5098324781563133
601,11,1.2,1,25600,0.0006193442270159722,0.1464453125,0.15578125,0.32890625,0.40390625,0.26328125,0.322265625,-0.05898437499999998,0.02751465459351986,0.029841437382827192,0.009283673837780953,0.125,1.5114949664426967
601,11,1.2,3,25600,-0.0022265637293457986,0.246328125,0.1834765625,0.603125,0.55546875,0.51484375,0.42734375,0.08750000000000002,0.044425279875615266,0.04750815061196028,0.013858530335128308,0.140625,1.3978178911970462
601,11,1.2,5,25600,0.0009497121348977089,0.2033984375,0.2658984375,0.45859375,0.690625,0.399609375,0.5828125,-0.18320312499999997,0.02968317775092611,0.026277793036940444,0.009934597723186016,0.140625,1.5098324781563133
601,11,1.3,1,25600,0.0010347018763422965,0.24453125,0.264765625,0.4265625,0.56640625,0.36484375,0.47265625,-0.10781249999999998,0.018600994024794704,0.021087428537854475,0.009283673837780953,0.125,1.5114949664426967
601,11,1.3,3,25600,-0.0017529601976275443,0.351015625,0.2666015625,0.69609375,0.68828125,0.608984375,0.568359375,0.04062500000000002,0.034206838563213944,0.03846254509447258,0.013858530335128308,0.140625,1.3978178911970462
601,11,1.3,5,25600,0.0007564465701580047,0.297265625,0.37140625,0.55703125,0.8171875,0.49453125,0.725,-0.23046875,0.024717934592168058,0.021820415906861994,0.009934597723186016,0.140625,1.5098324781563133
601,22,1.1,1,25600,-0.0005608454719185829,0.0658984375,0.0633984375,0.23125,0.2078125,0.172265625,0.151171875,0.021093749999999994,0.05313183502396254,0.04638062945428779,0.009283673837780953,0.125,1.5114949664426967
601,22,1.1,3,25600,-0.002530453018844128,0.1287109375,0.0929296875,0.45625,0.34453125,0.36328125,0.248828125,0.11445312499999999,0.06695387034206361,0.06550374337733919,0.013858530335128308,0.140625,1.3978178911970462
601,22,1.1,5,25600,-0.000325697660446167,0.1143359375,0.144921875,0.3546875,0.45390625,0.29296875,0.365234375,-0.072265625,0.04399021827689934,0.03245862770594676,0.009934597723186016,0.140625,1.5098324781563133
601,22,1.2,1,25600,-0.0001265662908554077,0.1644921875,0.15578125,0.3703125,0.40390625,0.309765625,0.322265625,-0.012500000000000011,0.029030574525911488,0.029841437382827192,0.009283673837780953,0.125,1.5114949664426967
