base_seed,train_loss,training_validation_loss,validation_perplexity,top2_loss,top1_loss,oracle_loss,oracle_experts_per_token,top2_tokens_per_second,expert_utilization_std,router_entropy,expert_utilization,top1_oracle_accuracy,top2_oracle_coverage,mean_forced_top1_regret,positive_delta_fraction
101,2.040051057934761,2.032263379096985,7.631339440453822,2.0322684264183044,2.070661826133728,1.9542384767532348,1.52876953125,53345.41051198955,0.03476406891116716,0.9541678380966186,"[[0.29810547828674316, 0.21320313215255737, 0.2161523401737213, 0.27253904938697815], [0.3053515553474426, 0.23203125596046448, 0.2427343726158142, 0.2198828160762787]]",0.4597265625,0.6759375,0.3216961920261383,0.52876953125
202,2.079194724559784,2.0261478519439695,7.584812191228412,2.0261374640464784,2.058944888114929,1.9504871916770936,1.50232421875,50226.202334794725,0.0217638311245922,0.9243735766410828,"[[0.25289061665534973, 0.22617188096046448, 0.2305273413658142, 0.2904101610183716], [0.24640625715255737, 0.2516210973262787, 0.27531251311302185, 0.22666016221046448]]",0.49767578125,0.70564453125,0.336964875459671,0.50232421875
303,2.0313384979963303,2.03151748418808,7.6256493855723555,2.03150830745697,2.0552751207351685,1.9581461501121522,1.5326953125,53240.57715613277,0.023643030502569225,0.9461959517002105,"[[0.2294921875, 0.2825585901737213, 0.22660155594348907, 0.2613476514816284], [0.2704101502895355, 0.2090429663658142, 0.25804686546325684, 0.26249998807907104]]",0.47951171875,0.68392578125,0.31642234325408936,0.5326953125
404,2.0486642867326736,2.0263834619522094,7.586599459432156,2.0263843727111817,2.060062789916992,1.9528671216964721,1.51357421875,39686.382701415176,0.016381487969172857,0.9088293635845184,"[[0.2485937476158142, 0.2751171886920929, 0.23939453065395355, 0.23689453303813934], [0.22261719405651093, 0.2691406309604645, 0.24781249463558197, 0.2604296803474426]]",0.50583984375,0.70607421875,0.32395994663238525,0.51357421875
505,2.0355470329523087,2.035747172832489,7.657971816907083,2.0357455110549925,2.0661877179145813,1.9527586674690247,1.50041015625,48764.79721107941,0.023032112251830893,0.9585674476623535,"[[0.23916015028953552, 0.25953125953674316, 0.2382226586341858, 0.2630859315395355], [0.19945313036441803, 0.2794531285762787, 0.26689451932907104, 0.25419920682907104]]",0.472890625,0.68115234375,0.3333897888660431,0.50041015625
